Departamento,Distrito,NIT_Distrito,Codigo_Zona,Area_km2,Poblacion,Densidad_HabKm2
CHALATENANGO,AZACUALPA,0403-041079-001-9,AZACUALPA-0403-SUR,,,
CHALATENANGO,CITALA,0404-041079-001-9,CITALA-0404-NORTE,284.11,54881.0,193.17
CHALATENANGO,COMALAPA,0405-041079-001-9,COMALAPA-0405-SUR,,,
CHALATENANGO,CONCEPCION QUEZALTEPEQUE ,0406-041079-001-9,CONCEPCION QUEZALTEPEQUE -0406-SUR,,,
CHALATENANGO,CHALATENANGO,0407-010611-001-6,CHALATENANGO-0407-SUR,,,
CHALATENANGO,DULCE NOMBRE DE MARIA,0408-041079-001-9,DULCE NOMBRE DE MARIA-0408-CENTRO,,,
CHALATENANGO,EL CARRIZAL,0409-041079-001-9,EL CARRIZAL-0409-SUR,,,
CHALATENANGO,EL PARAISO,0410-041079-001-0,EL PARAISO-0410-CENTRO,,,
CHALATENANGO,LA LAGUNA,0411-041079-001-0,LA LAGUNA-0411-SUR,,,
CHALATENANGO,LA PALMA,0412-041079-001-0,LA PALMA-0412-NORTE,,,
CHALATENANGO,LA REINA,0413-240630-001-8,LA REINA-0413-CENTRO,,,
CHALATENANGO,LAS VUELTAS,0414-041079-001-0,LAS VUELTAS-0414-SUR,,,
CHALATENANGO,NOMBRE DE JESUS,0415-041079-001-0,NOMBRE DE JESUS-0415-SUR,,,
CHALATENANGO,NUEVA CONCEPCION,0416-041079-001-0,NUEVA CONCEPCION-0416-CENTRO,,,
CHALATENANGO,NUEVA TRINIDAD,0417-041079-001-0,NUEVA TRINIDAD-0417-SUR,,,
CHALATENANGO,OJOS DE AGUA,0418-041079-001-0,OJOS DE AGUA-0418-SUR,,,
CHALATENANGO,POTONICO,0419-041079-001-0,POTONICO-0419-SUR,,,
CHALATENANGO,SAN ANTONIO DE LA CRUZ,0420-041079-001-0,SAN ANTONIO DE LA CRUZ-0420-SUR,,,
CHALATENANGO,SAN ANTONIO LOS RANCHOS,0421-041079-001-0,SAN ANTONIO LOS RANCHOS-0421-SUR,,,
CHALATENANGO,SAN FERNANDO,0422-041079-001-0,SAN FERNANDO-0422-CENTRO,,,
CHALATENANGO,SAN FRANCISCO LEMPA,0423-041079-001-0,SAN FRANCISCO LEMPA-0423-SUR,,,
CHALATENANGO,SAN FRANCISCO MORAZAN,0424-041079-001-0,SAN FRANCISCO MORAZAN-0424-CENTRO,,,
CHALATENANGO,SAN IGNACIO,0425-041079-001-0,SAN IGNACIO-0425-NORTE,,,
CHALATENANGO,SAN ISIDRO LABRADOR,0426-041079-001-0,SAN ISIDRO LABRADOR-0426-SUR,,,
CHALATENANGO,CANCASTE,0427-041079-001-0,CANCASTE-0427-SUR,,,
CHALATENANGO,SAN JOSE LAS FLORES,0428-041079-001-0,SAN JOSE LAS FLORES-0428-SUR,,,
CHALATENANGO,SAN LUIS DEL CARMEN,0429-041079-001-0,SAN LUIS DEL CARMEN-0429-SUR,,,
CHALATENANGO,SAN MIGUEL DE MERCEDES,0430-041079-001-1,SAN MIGUEL DE MERCEDES-0430-SUR,,,
CHALATENANGO,SAN RAFAEL,0431-310181-001-0,SAN RAFAEL-0431-CENTRO,,,
CHALATENANGO,SANTA RITA,0432-041079-001-1,SANTA RITA-0432-CENTRO,,,
CHALATENANGO,TEJUTLA,0433-041079-001-1,TEJUTLA-0433-CENTRO,,,
LA LIBERTAD,ANTIGUO CUSCATLAN,0501-010611-001-8,ANTIGUO CUSCATLAN-0501-ESTE,134.58,132697.0,986.01
LA LIBERTAD,CIUDAD ARCE,0502-051079-001-9,CIUDAD ARCE-0502-CENTRO,,,
LA LIBERTAD,COLON,0503-030679-001-3,COLON-0503-OESTE,276.98,148980.0,537.87
